customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
0002-ORFBO,False,Female,False,True,True,9,One year,True,Mailed check,65.6,593.3,True,No,DSL,No,Yes,No,Yes,Yes,No
0003-MKNFE,False,Male,False,False,False,9,Month-to-month,False,Mailed check,59.9,542.4,True,Yes,DSL,No,No,No,No,No,Yes
0004-TLHLJ,True,Male,False,False,False,4,Month-to-month,True,Electronic check,73.9,280.85,True,No,Fiber optic,No,No,Yes,No,No,No
0011-IGKFF,True,Male,True,True,False,13,Month-to-month,True,Electronic check,98.0,1237.85,True,No,Fiber optic,No,Yes,Yes,No,Yes,Yes
0013-EXCHZ,True,Female,True,True,False,3,Month-to-month,True,Mailed check,83.9,267.4,True,No,Fiber optic,No,No,No,Yes,Yes,No
0013-MHZWF,False,Female,False,False,True,9,Month-to-month,True,Credit card (automatic),69.4,571.45,True,No,DSL,No,No,No,Yes,Yes,Yes
0013-SMEOE,False,Female,True,True,False,71,Two year,True,Bank transfer (automatic),109.7,7904.25,True,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
0014-BMAQU,False,Male,False,True,False,63,Two year,True,Credit card (automatic),84.65,5377.8,True,Yes,Fiber optic,Yes,No,No,Yes,No,No
0015-UOCOJ,False,Female,True,False,False,7,Month-to-month,True,Electronic check,48.2,340.35,True,No,DSL,Yes,No,No,No,No,No
0016-QLJIS,False,Female,False,True,True,65,Two year,True,Mailed check,90.45,5957.9,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
0017-DINOC,False,Male,False,False,False,54,Two year,False,Credit card (automatic),45.2,2460.55,False,No phone service,DSL,Yes,No,No,Yes,Yes,No
0017-IUDMW,False,Female,False,True,True,72,Two year,True,Credit card (automatic),116.8,8456.75,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
0018-NYROU,False,Female,False,True,False,5,Month-to-month,True,Electronic check,68.95,351.5,True,No,Fiber optic,No,No,No,No,No,No
0019-EFAEP,False,Female,False,False,False,72,Two year,True,Bank transfer (automatic),101.3,7261.25,True,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No
0019-GFNTW,False,Female,False,False,False,56,Two year,False,Bank transfer (automatic),45.05,2560.1,False,No phone service,DSL,Yes,Yes,Yes,Yes,No,No
0020-INWCK,False,Female,False,True,True,71,Two year,True,Credit card (automatic),95.75,6849.4,True,Yes,Fiber optic,No,Yes,Yes,No,No,Yes
